timestamp,sme,s_m_distance,orbital_p,average_power,right_flag,eclipse_l,full_off,average_xtx,gsep_dur,lvah,sh,thp2
1598085002,37.5024439987,206914973.66005346,25140,106.62651208651397,1,0,1,0.519632527846064,25140,0.6087952695955191,714.851076879974,108.61314405785353
1598110142,37.5024439987,206914973.66005346,25137,114.31322929936302,1,0,1,0.02194009898343953,25137,0.6087952695955191,714.851076879974,112.04625379030074
1598135279,37.5024439987,206914973.66005346,25136,117.9474391857506,1,0,1,0.33386340155852107,25136,0.6087952695955191,714.851076879974,109.89458970271389
1598160415,37.1170390329,206914973.66005346,25136,106.90290560509553,1,0,1,1.7486775789222753,25136,0.6034451523398474,714.851076879974,100.5452895594594
1598185551,37.1170390329,206914973.66005346,25137,113.2386684478372,1,0,1,0.592471442798989,25137,0.6034451523398474,714.851076879974,108.52086304308912
1598210688,37.1170390329,206914973.66005346,25140,123.7071214012739,1,0,1,0.022186951573248445,25140,0.6034451523398474,714.851076879974,112.45471681210276
1598235828,36.7203123574,206914973.66005346,25140,105.5778821882952,1,0,1,1.5411910217620832,25140,0.5979093529233688,714.851076879974,102.40094435192907
1598260968,36.7203123574,206914973.66005346,25139,114.2776811464967,1,0,1,1.4274551041375778,25139,0.5979093529233688,714.851076879974,103.18550096376632
1598286107,36.7203123574,206914973.66005346,25137,108.87378509554144,1,0,1,0.6303943872407728,25137,0.5979093529233688,714.851076879974,108.68366960334808
1598311244,36.7203123574,206914973.66005346,25135,107.04273783439486,1,0,1,0.9926748323503188,25135,0.5979093529233688,714.851076879974,106.18463917842635
1598336379,36.3121040539,206914973.66005346,25135,110.70512394904479,1,0,1,1.8819322603566888,25135,0.5921834224449963,714.851076879974,100.48947003854792
1598361514,36.3121040539,206914973.66005346,25138,107.95234262086508,1,0,1,1.4748657487773575,25138,0.5921834224449963,714.851076879974,103.29743721186827
1598386652,36.3121040539,206914973.66005346,25140,106.54125859872612,1,0,1,0.6222143582318541,25140,0.5921834224449963,714.851076879974,109.1790733740981
